Neighborhood,NP_ID,ReportYear,SingleFamilyUnits,%GrowthSFY_Stacked,MultiFamilyUnits,%GrowthMFY_Stacked,MedianHomePriceValues(2015$),%GrowthMedianHomePrice,EffectiveRentPerUnit,%GrowthEffectiveRent,%GrowthEffectiveRent(PHB/CoStarSupplied),TotalUnits(WeightingFactor),%GrowthTotalUnits,Weighted_%GrowthSFYUnitsStacked,Weighted_%GrowthMFYUnitsStacked,Weighted_%GrowthTotalUnits,Weighted_%GrowthMedianHomePrice,Weighted_%GrowthRent,Weighted_%GrowthRent(PHB_CoStar),MSA_Population,MSA_%Growth
122nd-Division,1,2008,,,,,,,707,,3.2,,,,,,,,,,
122nd-Division,1,2009,,,,,,,693,-1.98019802,-2.4,,,,,,,,,,
122nd-Division,1,2010,4405,,3719,,168551,,703,1.443001443,1.4,8124,,,,,,,,2230577.593,
122nd-Division,1,2011,4441,0.4431314623,3719,0,140341,-16.73677403,710,0.9957325747,0.9,8160,0.4431314623,3615.952733,0,3615.952733,-136572.0761,8125.177809,7344,2246082.829,0.6951220195
122nd-Division,1,2012,4468,0.3308823529,3719,0,146434,4.341568038,725,2.112676056,2.2,8187,0.3308823529,2708.933824,0,2708.933824,35544.41753,17296.47887,18011.4,2266572.729,0.9122504241
122nd-Division,1,2013,4494,0.3175766459,3736,0.2076462685,160330,9.48959941,754,4,4.1,8230,0.5252229144,2613.655796,1708.92879,4322.584585,78099.40314,32920,33743,2292725.175,1.153832211
122nd-Division,1,2014,4515,0.255164034,3768,0.3888213852,184719,15.21175076,784,3.978779841,4,8283,0.6439854192,2113.523694,3220.607533,5334.131227,125998.9316,32956.23342,33132,2326396.606,1.468620461
122nd-Division,1,2015,4543,0.3380417723,3768,0,210000,13.68619362,871,11.09693878,11.7,8311,0.3380417723,2809.46517,0,2809.46517,113745.9552,92226.65816,97238.7,2364953.612,1.657370283
122nd-Division,1,2016,,,,,,,915,5.051664753,5.3,,,,,,,,,,
Belmont-Hawthorne-Division,2,2008,,,,,,,971,,10.1,,,,,,,,,,
Belmont-Hawthorne-Division,2,2009,,,,,,,974,0.3089598352,-0.4,,,,,,,,,,
Belmont-Hawthorne-Division,2,2010,7168,,6365,,338448,,990,1.642710472,1.8,13533,,,,,,,,2230577.593,
Belmont-Hawthorne-Division,2,2011,7180,0.08867213478,6365,0,324309,-4.177598922,1002,1.212121212,1.2,13545,0.08867213478,1201.064066,0,1201.064066,-56585.5774,16418.18182,16254,2246082.829,0.6951220195
Belmont-Hawthorne-Division,2,2012,7199,0.1402731635,6396,0.2288667405,347522,7.157679867,1028,2.594810379,2.6,13595,0.369139904,1907.013658,3111.443337,5018.456995,97308.65779,35276.44711,35347,2266572.729,0.9122504241
Belmont-Hawthorne-Division,2,2013,7222,0.1691798455,6583,1.375505701,328954,-5.342971092,1095,6.517509728,9.8,13805,1.544685546,2335.527768,18988.8562,21324.38396,-73759.71593,89974.22179,135289,2292725.175,1.153832211
Belmont-Hawthorne-Division,2,2014,7258,0.2607750815,6957,2.709163347,415493,26.30732564,1169,6.757990868,10.3,14215,2.969938428,3706.917783,38510.75697,42217.67476,373958.634,96064.84018,146414.5,2326396.606,1.468620461
Belmont-Hawthorne-Division,2,2015,7302,0.3095321843,7192,1.653183257,465500,12.03558183,1252,7.100085543,8.5,14494,1.962715441,4486.359479,23961.23813,28447.59761,174443.723,102908.6399,123199,2364953.612,1.657370283
Belmont-Hawthorne-Division,2,2016,,,,,,,1280,2.236421725,4,,,,,,,,,,
Centennial-Glenfair-Wilkes,3,2008,,,,,,,702,,1.2,,,,,,,,,,
Centennial-Glenfair-Wilkes,3,2009,,,,,,,689,-1.851851852,-1.9,,,,,,,,,,
Centennial-Glenfair-Wilkes,3,2010,5632,,4663,,168059,,706,2.467343977,2.6,10295,,,,,,,,2230577.593,
Centennial-Glenfair-Wilkes,3,2011,5652,0.1942690627,4679,0.1554152501,141866,-15.58559792,717,1.558073654,1.5,10331,0.3496843128,2006.993686,1605.594949,3612.588635,-161014.8121,16096.45892,15496.5,2246082.829,0.6951220195
Centennial-Glenfair-Wilkes,3,2012,5659,0.0677572355,4679,0,139215,-1.868664796,730,1.813110181,1.9,10338,0.0677572355,700.4743006,0,700.4743006,-19318.25666,18743.93305,19642.2,2266572.729,0.9122504241
Centennial-Glenfair-Wilkes,3,2013,5667,0.07738440704,4728,0.4739794931,164670,18.2846676,766,4.931506849,5,10395,0.5513639002,804.4109112,4927.016831,5731.427742,190069.1197,51263.0137,51975,2292725.175,1.153832211
Centennial-Glenfair-Wilkes,3,2014,5679,0.1154401154,4806,0.7503607504,180214,9.439485031,800,4.438642298,4.4,10485,0.8658008658,1210.38961,7867.532468,9077.922078,98973.00055,46539.16449,46134,2326396.606,1.468620461
Centennial-Glenfair-Wilkes,3,2015,5684,0.04768717215,4806,0,209950,16.50038288,847,5.875,6.1,10490,0.04768717215,500.2384359,0,500.2384359,173089.0164,61628.75,63989,2364953.612,1.657370283
Centennial-Glenfair-Wilkes,3,2016,,,,,,,918,8.382526564,8.5,,,,,,,,,,
Central City,4,2008,,,,,,,1095,,0.3,,,,,,,,,,
Central City,4,2009,,,,,,,1136,3.744292237,0.7,,,,,,,,,,
Central City,4,2010,1116,,22994,,348668,,1138,0.176056338,0.1,24110,,,,,,,,2230577.593,
Central City,4,2011,1116,0,23144,0.6221484861,318528,-8.644326408,1167,2.548330404,2.7,24260,0.6221484861,0,15093.32227,15093.32227,-209711.3587,61822.49561,65502,2246082.829,0.6951220195
