Neighborhood,NP_ID,ReportYear,SingleFamilyUnits,%GrowthSFY_Stacked,MultiFamilyUnits,%GrowthMFY_Stacked,MedianHomePriceValues(2015$),%GrowthMedianHomePrice,EffectiveRentPerUnit,%GrowthEffectiveRent,%GrowthEffectiveRent(PHB/CoStarSupplied),TotalUnits(WeightingFactor),%GrowthTotalUnits,Weighted_%GrowthSFYUnitsStacked,Weighted_%GrowthMFYUnitsStacked,Weighted_%GrowthTotalUnits,Weighted_%GrowthMedianHomePrice,Weighted_%GrowthRent,Weighted_%GrowthRent(PHB_CoStar),MSA_Population,MSA_%Growth
Tryon Creek-South Terwilliger,22,2009,,,,,,,,,,,,,,,,,,,
Tryon Creek-South Terwilliger,22,2010,3656,,258,,420148,,,,,3914,,,,,,,,2230577.593,0
Tryon Creek-South Terwilliger,22,2011,3665,0.2299437915,258,0,357424,-14.92902501,,,,3923,0.2299437915,902.0694941,0,902.0694941,-58566.56512,0,0,2246082.829,0.6951220195
Tryon Creek-South Terwilliger,22,2012,3677,0.3058883508,258,0,378459,5.885167196,,,,3935,0.3058883508,1203.67066,0,1203.67066,23158.13292,0,0,2266572.729,0.9122504241
Tryon Creek-South Terwilliger,22,2013,3691,0.3557814485,258,0,420994,11.23899815,,,,3949,0.3557814485,1404.98094,0,1404.98094,44382.80369,0,0,2292725.175,1.153832211
Tryon Creek-South Terwilliger,22,2014,3702,0.278551532,258,0,455490,8.193941006,,,,3960,0.278551532,1103.064067,0,1103.064067,32448.00638,0,0,2326396.606,1.468620461
Tryon Creek-South Terwilliger,22,2015,3716,0.3535353535,258,0,468000,2.746492788,,,,3974,0.3535353535,1404.949495,0,1404.949495,10914.56234,0,0,2364953.612,1.657370283
Tryon Creek-South Terwilliger,22,2016,,,,,,,,,,,,,,,,,,,
West Portland,23,2008,,,,,,,1004,,1.5,,,,,,,,,,
West Portland,23,2009,,,,,,,964,-3.984063745,-4,,,,,,,,,,
West Portland,23,2010,4250,,1726,,324660,,983,1.970954357,2,5976,,,,,,,,2230577.593,0
West Portland,23,2011,4255,0.08366800535,1726,0,273324,-15.81223434,979,-0.4069175992,-0.4,5981,0.08366800535,500.41834,0,500.41834,-94572.97357,-2433.774161,-2392.4,2246082.829,0.6951220195
West Portland,23,2012,4261,0.1003176726,1726,0,292558,7.037069558,1032,5.413687436,5.4,5987,0.1003176726,600.601906,0,600.601906,42130.93545,32411.74668,32329.8,2266572.729,0.9122504241
West Portland,23,2013,4267,0.1002171371,1726,0,309937,5.940360544,1081,4.748062016,4.8,5993,0.1002171371,600.6013028,0,600.6013028,35600.58074,28455.13566,28766.4,2292725.175,1.153832211
West Portland,23,2014,4279,0.2002336059,1726,0,329391,6.27675947,1166,7.863089732,7.8,6005,0.2002336059,1202.402803,0,1202.402803,37691.94062,47217.85384,46839,2326396.606,1.468620461
West Portland,23,2015,4297,0.2997502082,1726,0,375000,13.84646211,1230,5.488850772,5.5,6023,0.2997502082,1805.395504,0,1805.395504,83397.24127,33059.3482,33126.5,2364953.612,1.657370283
West Portland,23,2016,,,,,,,1281,4.146341463,4.1,,,,,,,,,,
Woodstock,24,2008,,,,,,,834,,4.3,,,,,,,,,,
Woodstock,24,2009,,,,,,,814,-2.398081535,-2.6,,,,,,,,,,
Woodstock,24,2010,6867,,3540,,311019,,833,2.334152334,2.4,10407,,,,,,,,2230577.593,0
Woodstock,24,2011,6890,0.2210050927,3544,0.0384356683,294349,-5.35980117,851,2.160864346,2.2,10434,0.259440761,2305.967138,401.037763,2707.004901,-55924.1654,22546.45858,22954.8,2246082.829,0.6951220195
Woodstock,24,2012,6900,0.09584052137,3546,0.01916810427,288227,-2.079843995,893,4.935370153,5.1,10446,0.1150086256,1001.150086,200.2300173,1201.380104,-21726.05037,51554.87662,53274.6,2266572.729,0.9122504241
Woodstock,24,2013,6927,0.2584721424,3548,0.01914608463,324490,12.58140285,943,5.599104143,5.6,10475,0.2776182271,2707.495692,200.5552365,2908.050929,131790.1949,58650.6159,58660,2292725.175,1.153832211
Woodstock,24,2014,6957,0.2863961814,3560,0.1145584726,360327,11.04409997,1028,9.01378579,9.4,10517,0.4009546539,3012.02864,1204.811456,4216.840095,116150.7994,94797.98515,98859.8,2326396.606,1.468620461
Woodstock,24,2015,7004,0.4468955025,3584,0.2282019587,420000,16.56079062,1094,6.420233463,6.5,10588,0.6750974613,4731.729581,2416.202339,7147.93192,175345.651,67977.43191,68822,2364953.612,1.657370283
Woodstock,24,2016,,,,,,,1128,3.10786106,3.2,,,,,,,,,,
Portland,25,2000,142825,,"  93,101 ",," $ 205,744 ",,,,,235926,,,,,,,,,
Portland,25,2010,152261,3.999559184,"  112,429 ",8.192399312," $ 272,823 ",32.60313788,,,,264690,12.1919585,1058643.32,2168446.174,,8629724.565,0,,2230577.593,0
Portland,25,2011,152637,0.1420529676,"  112,903 ",0.1790774113," $ 247,043 ",-9.449349945,,,,265540,0.3211303789,37720.74502,47552.2158,,-2509180.384,0,,2246082.829,0.6951220195
Portland,25,2012,"  153,016 ",0.1427280259,"  113,882 ",0.3686826843," $ 257,806 ",4.356731419,,,,266898,0.5114107103,38093.82466,98400.67109,,1162802.902,0,,2266572.729,0.9122504241
Portland,25,2013,"  153,550 ",0.2000764337,"  115,194 ",0.4915735599," $ 291,045 ",12.89302809,,,,268744,0.6916499936,53769.3411,132107.4448,,3464923.941,0,,2292725.175,1.153832211
Portland,25,2014,"  154,236 ",0.2552615128,"  118,980 ",1.408775638," $ 310,368 ",6.639179508,,,,273216,1.664037151,69741.52949,384900.0447,,1813930.069,0,,2326396.606,1.468620461
