NHM_ID,NP_ID,NHM_ReportYear,NHM_UnitSize,NHM_Rent_Amt
2,1,2016,Studio,677
3,1,2016,1-BR,814
4,1,2016,2-BR,955
5,1,2016,3-BR,1234
7,2,2016,Studio,1017
8,2,2016,1-BR,1278
9,2,2016,2-BR,1410
10,2,2016,3-BR,1853
12,3,2016,Studio,791
13,3,2016,1-BR,778
14,3,2016,2-BR,927
15,3,2016,3-BR,1148
17,4,2016,Studio,1132
18,4,2016,1-BR,1481
19,4,2016,2-BR,2125
20,4,2016,3-BR,3308
22,5,2016,Studio,
23,5,2016,1-BR,1386
24,5,2016,2-BR,1542
25,5,2016,3-BR,
27,6,2016,Studio,474
28,6,2016,1-BR,845
29,6,2016,2-BR,1050
30,6,2016,3-BR,1398
32,7,2016,Studio,
33,7,2016,1-BR,1586
34,7,2016,2-BR,2334
35,7,2016,3-BR,
37,8,2016,Studio,
38,8,2016,1-BR,909
39,8,2016,2-BR,1097
40,8,2016,3-BR,1498
42,9,2016,Studio,1071
43,9,2016,1-BR,1240
44,9,2016,2-BR,1558
45,9,2016,3-BR,2102
47,10,2016,Studio,1084
48,10,2016,1-BR,1328
49,10,2016,2-BR,1762
50,10,2016,3-BR,1123
52,11,2016,Studio,950
53,11,2016,1-BR,897
54,11,2016,2-BR,1070
55,11,2016,3-BR,1344
57,12,2016,Studio,1207
58,12,2016,1-BR,1116
59,12,2016,2-BR,1436
60,12,2016,3-BR,876
62,13,2016,Studio,930
63,13,2016,1-BR,893
64,13,2016,2-BR,1133
65,13,2016,3-BR,1339
67,14,2016,Studio,1095
68,14,2016,1-BR,1618
69,14,2016,2-BR,2585
70,14,2016,3-BR,2286
72,15,2016,Studio,473
73,15,2016,1-BR,872
74,15,2016,2-BR,1103
75,15,2016,3-BR,1178
77,16,2016,Studio,0
78,16,2016,1-BR,815
79,16,2016,2-BR,990
80,16,2016,3-BR,1244
82,17,2016,Studio,950
83,17,2016,1-BR,1012
84,17,2016,2-BR,1170
85,17,2016,3-BR,1389
87,18,2016,Studio,680
88,18,2016,1-BR,847
89,18,2016,2-BR,1054
90,18,2016,3-BR,1175
92,19,2016,Studio,1159
93,19,2016,1-BR,1035
94,19,2016,2-BR,1408
95,19,2016,3-BR,0
97,20,2016,Studio,1332
98,20,2016,1-BR,1405
99,20,2016,2-BR,2116
100,20,2016,3-BR,1462
102,21,2016,Studio,1156
103,21,2016,1-BR,871
104,21,2016,2-BR,955
105,21,2016,3-BR,1208
107,22,2016,Studio,849
108,22,2016,1-BR,1046
109,22,2016,2-BR,1279
110,22,2016,3-BR,0
112,23,2016,Studio,923
113,23,2016,1-BR,1066
114,23,2016,2-BR,1381
115,23,2016,3-BR,1672
117,24,2016,Studio,927
118,24,2016,1-BR,1014
119,24,2016,2-BR,1261
120,24,2016,3-BR,1314
122,25,2016,Studio,1169
123,25,2016,1-BR,1328
124,25,2016,2-BR,1520
125,25,2016,3-BR,1562
126,1,2015,Studio,539
127,1,2015,1-BR,740
128,1,2015,2-BR,884
129,1,2015,3-BR,1095
130,2,2015,Studio,1043
131,2,2015,1-BR,1158
132,2,2015,2-BR,1220
133,2,2015,3-BR,1337
134,3,2015,Studio,689
135,3,2015,1-BR,742
136,3,2015,2-BR,847
137,3,2015,3-BR,995
138,4,2015,Studio,1198
139,4,2015,1-BR,1404
140,4,2015,2-BR,2163
141,4,2015,3-BR,3290
142,5,2015,Studio,-
143,5,2015,1-BR,1330
144,5,2015,2-BR,1522
145,5,2015,3-BR,
146,6,2015,Studio,654
147,6,2015,1-BR,823
148,6,2015,2-BR,930
149,6,2015,3-BR,1137
150,7,2015,Studio,-
151,7,2015,1-BR,1594
152,7,2015,2-BR,2078
153,7,2015,3-BR,
154,8,2015,Studio,855
155,8,2015,1-BR,867
156,8,2015,2-BR,1015
157,8,2015,3-BR,1343
158,9,2015,Studio,1080
159,9,2015,1-BR,1206
160,9,2015,2-BR,1540
161,9,2015,3-BR,2440
162,10,2015,Studio,1020
163,10,2015,1-BR,1287
164,10,2015,2-BR,1496
165,10,2015,3-BR,937
166,11,2015,Studio,753
167,11,2015,1-BR,900
168,11,2015,2-BR,1035
169,11,2015,3-BR,1342
170,12,2015,Studio,1123
171,12,2015,1-BR,1022
172,12,2015,2-BR,1274
173,12,2015,3-BR,854
174,13,2015,Studio,908
175,13,2015,1-BR,837
