NP_ID,Neighborhood,ReportYear,SingleFamilyUnits,MultiFamilyUnits,SingleFamilyPermits,MultiFamilyPermits
22,Tryon Creek-South Terwilliger,2010,3656,258,12,0
22,Tryon Creek-South Terwilliger,2011,3665,258,14,1
22,Tryon Creek-South Terwilliger,2012,3677,258,12,0
22,Tryon Creek-South Terwilliger,2013,3691,258,14,0
22,Tryon Creek-South Terwilliger,2014,3702,258,16,0
22,Tryon Creek-South Terwilliger,2015,3716,258,14,0
23,West Portland,2010,4250,1726,8,0
23,West Portland,2011,4255,1726,8,0
23,West Portland,2012,4261,1726,5,0
23,West Portland,2013,4267,1726,15,0
23,West Portland,2014,4279,1726,15,0
23,West Portland,2015,4297,1726,23,0
24,Woodstock,2010,6867,3540,21,0
24,Woodstock,2011,6890,3544,14,0
24,Woodstock,2012,6900,3546,27,0
24,Woodstock,2013,6927,3548,34,26
24,Woodstock,2014,6957,3560,62,4
24,Woodstock,2015,7004,3584,40,0
